organization_id,name,org_type,parent_id,description,item_order,created_by,created_at,updated_by,updated_at
881e8400-e29b-41d4-a716-446655440000,앤솔루션,ROOT,null,앤솔루션,1,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440100,기술본부,DEPARTMENT,881e8400-e29b-41d4-a716-446655440000,기술 총괄 본부,2,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440200,경영지원본부,DEPARTMENT,881e8400-e29b-41d4-a716-446655440000,경영지원 총괄 본부,3,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440300,품질본부,DEPARTMENT,881e8400-e29b-41d4-a716-446655440000,품질 총괄 본부,4,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440001,개발1팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440100,백엔드 개발팀,5,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440002,개발2팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440100,프론트엔드 개발팀,6,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440003,DevOps팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440100,인프라/운영팀,7,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440004,인사팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440200,인사 관리팀,8,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440005,총무팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440200,총무/구매팀,9,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440006,재무팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440200,재무/회계팀,10,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440007,QA팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440300,품질관리팀,11,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
881e8400-e29b-41d4-a716-446655440008,보안팀,DEPARTMENT,881e8400-e29b-41d4-a716-446655440300,정보보안팀,12,system,2025-01-01 00:00:00,system,2025-01-01 00:00:00
